2025-03-19 18:50:00,657 - INFO - Starting post-deployment data restoration
2025-03-19 18:50:00,744 - INFO - Database connection established
2025-03-19 18:50:00,744 - INFO - Transaction started
2025-03-19 18:50:00,758 - INFO - Data loaded from migration_data.json
2025-03-19 18:50:00,758 - INFO - === PRE-DEPLOYMENT DATA COUNTS (FROM JSON) ===
2025-03-19 18:50:00,759 - INFO - Committee Reports: 52
2025-03-19 18:50:00,759 - INFO - Agenda Items: 209
2025-03-19 18:50:00,759 - INFO - Removed Agenda Items: 19
2025-03-19 18:50:00,759 - INFO - Published Agenda Items: 34
2025-03-19 18:50:00,760 - INFO - Roll Calls: 1606
2025-03-19 18:50:01,724 - WARNING - No new agenda item ID found for meeting ID 1676 and agenda item ID 9555, skipping roll call
2025-03-19 18:50:01,724 - WARNING - No new agenda item ID found for meeting ID 1676 and agenda item ID 9555, skipping roll call
2025-03-19 18:50:01,724 - WARNING - No new agenda item ID found for meeting ID 1676 and agenda item ID 9556, skipping roll call
2025-03-19 18:50:01,725 - WARNING - No new agenda item ID found for meeting ID 1676 and agenda item ID 9556, skipping roll call
2025-03-19 18:50:01,725 - WARNING - No new agenda item ID found for meeting ID 1676 and agenda item ID 9556, skipping roll call
2025-03-19 18:50:01,725 - WARNING - No new agenda item ID found for meeting ID 1676 and agenda item ID 9556, skipping roll call
2025-03-19 18:50:02,028 - WARNING - No new agenda item ID found for meeting ID 1666 and agenda item ID 7554, skipping roll call
2025-03-19 18:50:02,029 - WARNING - No new agenda item ID found for meeting ID 1666 and agenda item ID 7554, skipping roll call
2025-03-19 18:50:02,029 - WARNING - No new agenda item ID found for meeting ID 1666 and agenda item ID 7554, skipping roll call
2025-03-19 18:50:02,029 - WARNING - No new agenda item ID found for meeting ID 1666 and agenda item ID 7554, skipping roll call
2025-03-19 18:50:02,475 - WARNING - No new agenda item ID found for meeting ID 4665 and agenda item ID 10554, skipping roll call
2025-03-19 18:50:02,475 - WARNING - No new agenda item ID found for meeting ID 4665 and agenda item ID 10554, skipping roll call
2025-03-19 18:50:02,476 - WARNING - No new agenda item ID found for meeting ID 4665 and agenda item ID 10554, skipping roll call
2025-03-19 18:50:02,476 - WARNING - No new agenda item ID found for meeting ID 4665 and agenda item ID 10555, skipping roll call
2025-03-19 18:50:02,476 - WARNING - No new agenda item ID found for meeting ID 4665 and agenda item ID 10555, skipping roll call
2025-03-19 18:50:02,476 - WARNING - No new agenda item ID found for meeting ID 4665 and agenda item ID 10555, skipping roll call
2025-03-19 18:50:04,824 - WARNING - No new agenda item ID found for meeting ID 953 and agenda item ID 10556, skipping roll call
2025-03-19 18:50:04,824 - WARNING - No new agenda item ID found for meeting ID 953 and agenda item ID 10556, skipping roll call
2025-03-19 18:50:04,824 - WARNING - No new agenda item ID found for meeting ID 953 and agenda item ID 10556, skipping roll call
2025-03-19 18:50:04,824 - WARNING - No new agenda item ID found for meeting ID 953 and agenda item ID 10556, skipping roll call
2025-03-19 18:50:04,824 - WARNING - No new agenda item ID found for meeting ID 953 and agenda item ID 10556, skipping roll call
2025-03-19 18:50:04,825 - WARNING - No new agenda item ID found for meeting ID 953 and agenda item ID 10556, skipping roll call
2025-03-19 18:50:04,825 - WARNING - No new agenda item ID found for meeting ID 953 and agenda item ID 10556, skipping roll call
2025-03-19 18:50:04,825 - WARNING - No new agenda item ID found for meeting ID 953 and agenda item ID 10556, skipping roll call
2025-03-19 18:50:04,825 - WARNING - No new agenda item ID found for meeting ID 953 and agenda item ID 10556, skipping roll call
2025-03-19 18:50:04,825 - WARNING - No new agenda item ID found for meeting ID 953 and agenda item ID 10556, skipping roll call
2025-03-19 18:50:04,826 - WARNING - No new agenda item ID found for meeting ID 953 and agenda item ID 10556, skipping roll call
2025-03-19 18:50:04,826 - WARNING - No new agenda item ID found for meeting ID 953 and agenda item ID 10556, skipping roll call
2025-03-19 18:50:04,826 - WARNING - No new agenda item ID found for meeting ID 953 and agenda item ID 10556, skipping roll call
2025-03-19 18:50:04,826 - WARNING - No new agenda item ID found for meeting ID 953 and agenda item ID 10556, skipping roll call
2025-03-19 18:50:04,826 - WARNING - No new agenda item ID found for meeting ID 953 and agenda item ID 10556, skipping roll call
2025-03-19 18:50:04,826 - WARNING - No new agenda item ID found for meeting ID 953 and agenda item ID 10556, skipping roll call
2025-03-19 18:50:04,827 - WARNING - No new agenda item ID found for meeting ID 953 and agenda item ID 10556, skipping roll call
2025-03-19 18:50:04,827 - WARNING - No new agenda item ID found for meeting ID 953 and agenda item ID 10556, skipping roll call
2025-03-19 18:50:04,877 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5572, skipping roll call
2025-03-19 18:50:04,877 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5572, skipping roll call
